Warning: Identity file /Users/briandillmann/.ssh/google_compute_engine not accessible: Operation not permitted.
Warning: Permanently added '34.148.248.120' (ED25519) to the list of known hosts.
Cloning into 'goodhistogram'...
=== worker: x86_64, 24 cores, go version go1.25.5 linux/amd64 ===
goos: linux
goarch: amd64
pkg: github.com/cockroachdb/goodhistogram
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkMinMaxSingleThread/order=descending/record-24               	57022292	        20.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-24               	56981638	        20.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-24               	57453252	        20.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-24               	57547930	        20.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-24               	57519422	        20.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-24               	57494341	        20.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51505268	        23.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51233070	        23.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51492116	        22.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51392001	        22.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51454986	        22.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51471405	        23.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51371032	        23.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-24        	51458346	        22.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52005595	        22.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52163498	        22.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	51805315	        22.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-24        	52213470	        22.68 ns/op	       0 B/op	       0 allocs/op
