go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxSingleThread/order=ascending/record-padded-8         	76941916	        15.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=ascending/record-padded-8         	76100508	        14.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	89914189	        13.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	90777758	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	91277401	        13.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	88968643	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	91036141	        13.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	89167765	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	90841530	        13.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-8               	89869208	        13.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	75955803	        14.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	76434187	        15.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	76036466	        15.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	76337334	        15.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	75698407	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	76284147	        15.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	75426816	        14.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-8        	76371342	        15.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75470078	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75009090	        15.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75264644	        14.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75702228	        14.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-8        	75808396	        15.11 ns/op	       0 B/op	       0 allocs/op
