goos: darwin
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
cpu: Apple M3 Pro
BenchmarkMinMaxSingleThread/order=descending/record-11               	387625329	         4.213 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-11               	387091778	         4.051 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-11               	425795394	         2.701 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-11               	444242272	         2.682 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	307779577	         3.644 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	340992441	         3.496 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	345177267	         3.475 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	347246293	         3.538 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	345701026	         3.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	342334755	         3.465 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	341309020	         3.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-minmax-11        	348077097	         3.456 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	342584787	         3.471 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	347059454	         4.617 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	284303653	         4.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	308535802	         4.602 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	262647462	         6.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	291887095	         5.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	235557445	         4.525 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxSingleThread/order=descending/record-padded-11        	282057802	         4.966 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	28482622	        44.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-11                	22988174	        44.72 ns/op	       0 B/op	       0 allocs/op
